trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",25,0,-167.2898842,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-35.34898251,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-20.66569588,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-72.51746105,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-17.50337322,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",20,14,-16.01225408,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-127.5182259,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-237.9253701,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-22.97007556,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-162.4512098,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-41.27539824,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-97.2468984,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-107.9493249,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-45.1383237,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-55.73688951,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,1.889227498,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,-30.45552617,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,8.522678001,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,18.07473014,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,14.99971231,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",25,0,26.83019816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,TRUE,"{'a': 0, 'e': 0}",20,0,-78.09156589,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
3,TRUE,"{'a': 0, 'e': 0}",25,8,-45.69253259,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
4,TRUE,"{'a': 0, 'e': 0}",30,9,-16.86070642,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,TRUE,"{'a': 0, 'e': 0}",20,0,-26.09980341,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,TRUE,"{'a': 0, 'e': 0}",20,2,23.1534632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",20,0,-39.1435582,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,TRUE,"{'a': 0, 'e': 0}",20,6,8.928527654,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",30,0,-151.3431569,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
10,TRUE,"{'a': 0, 'e': 0}",20,0,-84.34388532,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
