trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-196.39723313929505,"{0: 7, 1: 7, 2: 1, 3: 2, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.9995001249791693}",25,0,-138.19448711721327,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.999000499833375}",25,0,-138.03032932765535,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9985011244377109}",20,0,-70.55168674193881,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9980019986673331}",20,0,-80.47923594936208,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9975031223974601}",20,0,-26.286905538900488,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.997004495503373}",20,0,-62.29593644034801,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9965061178604149}",30,0,-161.9869691164238,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9960079893439915}",20,0,-52.59175960132357,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9955101098295706}",30,0,-133.47799703661232,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.9950124791926823}",30,0,-132.27054715190786,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9945150973089191}",20,0,-91.37934534348678,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9940179640539353}",25,0,-215.24995838596035,"{0: 9, 1: 6, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.9935210793034477}",20,12,-3.155344592926575,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.9930244429332351}",20,0,-5.1576027861227685,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
