trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-120.3235467,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-123.0458364,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-116.8253209,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-121.7046572,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-82.69845953,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-153.1193777,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-181.236507,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-112.4094446,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-132.111572,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-122.0132148,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-141.4481922,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-71.62398818,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-176.296032,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,10,-69.17033751,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-153.0836593,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",35,9,-80.63097387,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 1}",1
17,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-104.3393002,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-162.2270841,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-73.55997356,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-153.215227,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-118.974858,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-155.3963002,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-137.7385038,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-168.5772754,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-61.19769732,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-61.67105585,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-128.0309103,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-137.4166854,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-116.4892784,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-124.254489,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
